CPI                  Core 0     Core 1     Core 2     Core 3   
base                   0.72       0.55       0.82       0.81
depend                 0.00       0.12       0.00       0.00
depend-int             0.07       0.00       0.08       0.08
depend-fp              0.22       0.00       0.33       0.33
branch                 0.29       0.44       0.19       0.18
mem-l1d                0.08       0.11       0.05       0.05
sync-futex             0.00       6.29       0.00       0.00
sync-unscheduled        3.13       0.74       1.10       0.38
imbalance-end          0.36       0.00       0.15       0.12
other                  0.07       0.09       0.04       0.04

total                  4.96       8.33       2.76       2.00
