                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |   27390539 |   22458704 |  136104842 |  136134303
  Cycles                             |  126252000 |  126252000 |  126252000 |  126252000
  IPC                                |       0.22 |       0.18 |       1.08 |       1.08
  Time (ns)                          |   31563000 |   31563000 |   31563000 |   31563000
  Idle time (ns)                     |   27108964 |   27972638 |    8048069 |    8248828
  Idle time (%)                      |      85.9% |      88.6% |      25.5% |      26.1%
Branch predictor stats               |            |            |            |           
  num correct                        |    4519007 |    3736216 |    7785473 |    7796433
  num incorrect                      |     286824 |     247186 |     203099 |     193085
  misprediction rate                 |      5.97% |      6.21% |      2.54% |      2.42%
  mpki                               |      10.47 |      11.01 |       1.49 |       1.42
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |    4167169 |    3406422 |   15827079 |   15831370
    num misses                       |        119 |         72 |         25 |         25
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |    9486998 |    7707741 |   40028710 |   40034949
    num misses                       |        370 |         90 |         78 |         91
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.01 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |           
    num accesses                     |        489 |        162 |        103 |        116
    num misses                       |        294 |        154 |         97 |         98
    miss rate                        |     60.12% |     95.06% |     94.17% |     84.48%
    mpki                             |       0.01 |       0.01 |       0.00 |       0.00
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |    4167169 |    3406422 |   15827079 |   15831370
    num cache misses                 |       2051 |        860 |        152 |        151
    miss rate                        |      0.05% |      0.03% |      0.00% |      0.00%
    mpki                             |       0.07 |       0.04 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |           
    num cache accesses               |    9486998 |    7707741 |   40028710 |   40034949
    num cache misses                 |       9709 |       1727 |     125168 |     125364
    miss rate                        |      0.10% |      0.02% |      0.31% |      0.31%
    mpki                             |       0.35 |       0.08 |       0.92 |       0.92
  Cache L2                           |            |            |            |           
    num cache accesses               |      11903 |       2619 |     125323 |     125516
    num cache misses                 |       9494 |       2479 |       1573 |       1588
    miss rate                        |     79.76% |     94.65% |      1.26% |      1.27%
    mpki                             |       0.35 |       0.11 |       0.01 |       0.01
  Cache L3                           |            |            |            |           
    num cache accesses               |       9641 |       2511 |       1577 |       1589
    num cache misses                 |       7368 |       1344 |        285 |        377
    miss rate                        |     76.42% |     53.52% |     18.07% |     23.73%
    mpki                             |       0.27 |       0.06 |       0.00 |       0.00
DRAM summary                         |            |            |            |           
  num dram accesses                  |       9362 |          0 |          0 |          0
  average dram access latency (ns)   |     165.84 |        inf |        inf |        inf
  average dram queueing delay        |     112.41 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |       2563 |         51 |        214 |        314
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
