CPI                  Core 0     Core 1     Core 2     Core 3   
base                   0.25       0.25       0.25       0.25
depend                 0.07       0.07       0.00       0.00
depend-int             0.00       0.00       0.06       0.06
depend-fp              0.00       0.00       0.24       0.24
depend-branch          0.00       0.00       0.01       0.01
branch                 0.23       0.23       0.08       0.08
mem-l1d                0.06       0.06       0.04       0.04
sync-unscheduled        3.88       4.98       0.00       0.00
imbalance-start        0.00       0.00       0.19       0.19
imbalance-end          0.08       0.00       0.05       0.05
other                  0.05       0.03       0.01       0.01

total                  4.61       5.62       0.93       0.93
