CPI                  Core 0     Core 1     Core 2     Core 3   
base                   0.25       0.25       0.25       0.00
depend-int             0.00       0.00       0.06       0.00
depend-fp              0.00       0.00       0.10       0.00
depend-branch          0.00       0.00       0.01       0.00
issue-port015          0.00       0.00       0.01       0.00
branch                 0.00       0.00       0.04       0.00
ifetch                 0.00       0.00       0.02       0.00
mem-l1d                0.00       0.00       0.05       0.00
mem-l2                 0.00       0.00       0.01       0.00
mem-l3                 0.00       0.00       0.01       0.00
sync-futex             2.74       8.39       0.05       0.00
sync-unscheduled       11.90       3.54       0.00       0.00
imbalance-end          0.00       0.00       0.00      26.74
other                  0.28       0.29       0.01       0.63

total                 15.17      12.46       0.62      27.37
