CPI                  Core 0     Core 1     Core 2     Core 3   
base                   0.00       0.25       0.25       0.25
depend                 0.00       0.10       0.00       0.00
depend-int             0.00       0.00       0.06       0.06
depend-fp              0.00       0.00       0.09       0.10
issue                  0.00       0.00       0.02       0.00
issue-port015          0.00       0.00       0.00       0.01
branch                 0.00       0.00       0.03       0.05
ifetch                 0.00       0.00       0.02       0.02
mem-l1d                0.00       0.00       0.04       0.05
mem-l3                 0.00       0.00       0.02       0.02
sync-futex             0.00       9.48       0.02       0.06
sync-unscheduled        1.34       0.18       0.62       0.54
imbalance-end         74.34       0.00       0.00       0.00
other                  0.41       0.22       0.03       0.03

total                 76.10      10.23       1.19       1.19
