CPI                  Core 0     Core 1     Core 2     Core 3   
base                   0.25       0.25       0.00       0.25
depend-int             0.05       0.05       0.00       0.05
depend-fp              0.15       0.15       0.00       0.15
depend-branch          0.00       0.00       0.00       0.01
issue-port2            0.02       0.02       0.00       0.02
issue-port015          0.00       0.00       0.00       0.01
branch                 0.07       0.07       0.00       0.07
mem-l1d                0.06       0.06       0.00       0.06
sync-unscheduled        0.63       0.61    3051.70       0.00
imbalance-start        0.00       0.01       0.00       0.01
imbalance-end          0.00       0.02       0.00       0.00
other                  0.04       0.03       1.19       0.01

total                  1.27       1.27    3052.89       0.64
