CPI                  Core 0     Core 1     Core 2     Core 3   
base                   0.25       0.25       0.25       0.25
depend                 0.00       0.00       0.06       0.00
depend-int             0.05       0.06       0.00       0.06
depend-fp              0.18       0.24       0.00       0.23
depend-branch          0.02       0.00       0.00       0.00
issue                  0.01       0.00       0.00       0.00
branch                 0.11       0.08       0.20       0.08
mem-l1d                0.05       0.04       0.06       0.04
sync-futex             0.00       0.00       3.75       0.00
sync-unscheduled        0.46       0.30       0.64       0.32
imbalance-start        0.00       0.27       0.00       0.26
imbalance-end          0.06       0.07       0.00       0.00
other                  0.01       0.02       0.07       0.02

total                  1.20       1.32       5.03       1.27
