CPI                  Core 0     Core 1     Core 2     Core 3   
base                   0.25       0.25       0.25       0.25
depend-int             0.05       0.06       0.06       0.00
depend-fp              0.19       0.24       0.24       0.00
depend-branch          0.02       0.00       0.00       0.00
branch                 0.12       0.09       0.08       0.20
mem-l1d                0.05       0.04       0.00       0.00
sync-futex             0.00       0.00       0.00       7.22
sync-unscheduled        0.95       0.94       2.94       0.61
imbalance-start        0.00       0.22       0.00       0.00
imbalance-end          0.05       0.00       1.13       0.00
other                  0.02       0.02       0.06       0.17

total                  1.69       1.85       4.76       8.46
