                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |   99835125 |  548531812 |  548403864 |   24957158
  Cycles                             |  376162400 |  376162400 |  376162400 |  376162400
  IPC                                |       0.27 |       1.46 |       1.46 |       0.07
  Time (ns)                          |   94040600 |   94040600 |   94040600 |   94040600
  Idle time (ns)                     |   81606854 |   15590457 |   15756804 |   91203269
  Idle time (%)                      |      86.8% |      16.6% |      16.8% |      97.0%
Branch predictor stats               |            |            |            |           
  num correct                        |    5524698 |   48376133 |   48336383 |    1569463
  num incorrect                      |     129047 |     855097 |     856544 |       8270
  misprediction rate                 |      2.28% |      1.74% |      1.74% |      0.52%
  mpki                               |       1.29 |       1.56 |       1.56 |       0.33
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |   11165836 |   45806291 |   45813903 |    2793131
    num misses                       |        682 |         76 |         73 |        109
    miss rate                        |      0.01% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.01 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |   25554740 |  128661085 |  128399040 |    7700181
    num misses                       |      10687 |     554380 |     554471 |       2357
    miss rate                        |      0.04% |      0.43% |      0.43% |      0.03%
    mpki                             |       0.11 |       1.01 |       1.01 |       0.09
  L2 TLB                             |            |            |            |           
    num accesses                     |      11369 |     554456 |     554544 |       2466
    num misses                       |       3023 |      16636 |      16411 |        948
    miss rate                        |     26.59% |      3.00% |      2.96% |     38.44%
    mpki                             |       0.03 |       0.03 |       0.03 |       0.04
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |   11165836 |   45806291 |   45813903 |    2793131
    num cache misses                 |      19098 |     964530 |     958855 |       5041
    miss rate                        |      0.17% |      2.11% |      2.09% |      0.18%
    mpki                             |       0.19 |       1.76 |       1.75 |       0.20
  Cache L1-D                         |            |            |            |           
    num cache accesses               |   25554740 |  128661085 |  128399040 |    7700181
    num cache misses                 |     375007 |    4556895 |    4518759 |     140015
    miss rate                        |      1.47% |      3.54% |      3.52% |      1.82%
    mpki                             |       3.76 |       8.31 |       8.24 |       5.61
  Cache L2                           |            |            |            |           
    num cache accesses               |     408546 |    5522044 |    5478869 |     145065
    num cache misses                 |     364244 |     438503 |     381585 |     124286
    miss rate                        |     89.16% |      7.94% |      6.96% |     85.68%
    mpki                             |       3.65 |       0.80 |       0.70 |       4.98
  Cache L3                           |            |            |            |           
    num cache accesses               |     379298 |     439688 |     383929 |     124295
    num cache misses                 |      58484 |      28241 |       2930 |      44429
    miss rate                        |     15.42% |      6.42% |      0.76% |     35.74%
    mpki                             |       0.59 |       0.05 |       0.01 |       1.78
DRAM summary                         |            |            |            |           
  num dram accesses                  |     138628 |          0 |          0 |          0
  average dram access latency (ns)   |   15175.02 |        inf |        inf |        inf
  average dram queueing delay        |   15121.59 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      1.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |      28621 |       3388 |       2422 |       6285
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
