CPI                  Core 0     Core 1     Core 2     Core 3   
base                   0.25       0.25       0.25       0.25
depend-int             0.03       0.06       0.06       0.06
depend-fp              0.00       0.25       0.24       0.24
depend-branch          0.03       0.00       0.00       0.00
issue                  0.02       0.00       0.00       0.00
branch                 0.23       0.09       0.08       0.08
mem-l1d                0.06       0.04       0.04       0.04
sync-futex             1.29       0.00       0.00       0.00
imbalance-start        0.00       0.28       0.28       0.28
imbalance-end          0.00       0.07       0.09       0.10
other                  0.02       0.02       0.02       0.02

total                  1.93       1.06       1.06       1.06
