                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |   36537053 |  224442853 |  201386306 |  206151410
  Cycles                             |  277291200 |  277291200 |  277291200 |  277291200
  IPC                                |       0.13 |       0.81 |       0.73 |       0.74
  Time (ns)                          |   69322800 |   69322800 |   69322800 |   69322800
  Idle time (ns)                     |   63598938 |   32531993 |   36406208 |   35430027
  Idle time (%)                      |      91.7% |      46.9% |      52.5% |      51.1%
Branch predictor stats               |            |            |            |           
  num correct                        |    1521026 |    6818640 |    5903515 |    6206361
  num incorrect                      |      60166 |    1283959 |    1035694 |    1134053
  misprediction rate                 |      3.81% |     15.85% |     14.93% |     15.45%
  mpki                               |       1.65 |       5.72 |       5.14 |       5.50
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |    3580393 |   23616811 |   20882838 |   21560112
    num misses                       |        284 |       4972 |       7068 |       5620
    miss rate                        |      0.01% |      0.02% |      0.03% |      0.03%
    mpki                             |       0.01 |       0.02 |       0.04 |       0.03
  D-TLB                              |            |            |            |           
    num accesses                     |   13188990 |   77767353 |   70396157 |   71789089
    num misses                       |      10706 |     319766 |     295039 |     308031
    miss rate                        |      0.08% |      0.41% |      0.42% |      0.43%
    mpki                             |       0.29 |       1.42 |       1.47 |       1.49
  L2 TLB                             |            |            |            |           
    num accesses                     |      10990 |     324738 |     302107 |     313651
    num misses                       |       3619 |      56811 |      59884 |      50836
    miss rate                        |     32.93% |     17.49% |     19.82% |     16.21%
    mpki                             |       0.10 |       0.25 |       0.30 |       0.25
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |    3580393 |   23616811 |   20882838 |   21560112
    num cache misses                 |     124320 |    1768054 |    1745287 |    1726049
    miss rate                        |      3.47% |      7.49% |      8.36% |      8.01%
    mpki                             |       3.40 |       7.88 |       8.67 |       8.37
  Cache L1-D                         |            |            |            |           
    num cache accesses               |   13188990 |   77767353 |   70396157 |   71789089
    num cache misses                 |     264916 |    1992729 |    1975003 |    1939060
    miss rate                        |      2.01% |      2.56% |      2.81% |      2.70%
    mpki                             |       7.25 |       8.88 |       9.81 |       9.41
  Cache L2                           |            |            |            |           
    num cache accesses               |     389579 |    3763445 |    3722310 |    3667156
    num cache misses                 |     245350 |     799398 |     853450 |     727852
    miss rate                        |     62.98% |     21.24% |     22.93% |     19.85%
    mpki                             |       6.72 |       3.56 |       4.24 |       3.53
  Cache L3                           |            |            |            |           
    num cache accesses               |     245856 |     809548 |     863356 |     736520
    num cache misses                 |     141810 |     101159 |     102971 |      82685
    miss rate                        |     57.68% |     12.50% |     11.93% |     11.23%
    mpki                             |       3.88 |       0.45 |       0.51 |       0.40
DRAM summary                         |            |            |            |           
  num dram accesses                  |     647919 |          0 |          0 |          0
  average dram access latency (ns)   |    2147.69 |        inf |        inf |        inf
  average dram queueing delay        |    2094.26 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      7.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |      61466 |      54794 |      56650 |      39352
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
