                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |    2364506 |          0 |  456404560 |  456398225
  Cycles                             |  289953200 |  289953200 |  289953200 |  289953200
  IPC                                |       0.01 |       0.00 |       1.57 |       1.57
  Time (ns)                          |   72488300 |   72488300 |   72488300 |   72488300
  Idle time (ns)                     |   71664897 |   72488300 |     851619 |     823818
  Idle time (%)                      |      98.9% |     100.0% |       1.2% |       1.1%
Branch predictor stats               |            |            |            |           
  num correct                        |     327068 |          0 |   43521665 |   43518361
  num incorrect                      |      15762 |          0 |    1325426 |    1327836
  misprediction rate                 |      4.60% |      0.00% |      2.96% |      2.96%
  mpki                               |       6.67 |       0.00 |       2.90 |       2.91
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |     201250 |          0 |   61083621 |   61082820
    num misses                       |        180 |          0 |         41 |         41
    miss rate                        |      0.09% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.08 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |     798451 |          0 |  161026939 |  161024465
    num misses                       |       1638 |          0 |        157 |        110
    miss rate                        |      0.21% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.69 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |           
    num accesses                     |       1818 |          0 |        198 |        151
    num misses                       |        458 |          0 |        153 |        147
    miss rate                        |     25.19% |      0.00% |     77.27% |     97.35%
    mpki                             |       0.19 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |     201250 |          0 |   61083621 |   61082820
    num cache misses                 |       2443 |          0 |      10981 |      10942
    miss rate                        |      1.21% |       inf% |      0.02% |      0.02%
    mpki                             |       1.03 |        inf |       0.02 |       0.02
  Cache L1-D                         |            |            |            |           
    num cache accesses               |     798451 |          0 |  161026939 |  161024465
    num cache misses                 |      17147 |          0 |    1772969 |    1775675
    miss rate                        |      2.15% |       inf% |      1.10% |      1.10%
    mpki                             |       7.25 |        inf |       3.88 |       3.89
  Cache L2                           |            |            |            |           
    num cache accesses               |      20031 |          0 |    1784414 |    1787079
    num cache misses                 |      13214 |          0 |       4111 |       4004
    miss rate                        |     65.97% |       inf% |      0.23% |      0.22%
    mpki                             |       5.59 |        inf |       0.01 |       0.01
  Cache L3                           |            |            |            |           
    num cache accesses               |      13661 |          0 |       4595 |       4486
    num cache misses                 |      11669 |          0 |       3390 |       3118
    miss rate                        |     85.42% |       inf% |     73.78% |     69.51%
    mpki                             |       4.94 |        inf |       0.01 |       0.01
DRAM summary                         |            |            |            |           
  num dram accesses                  |      18139 |          0 |          0 |          0
  average dram access latency (ns)   |     154.24 |        inf |        inf |        inf
  average dram queueing delay        |     100.81 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |       8104 |          0 |        810 |        646
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
