                                     | Core 0     | Core 1     | Core 2      | Core 3    
  Instructions                       |          0 |   99820524 |  1096908391 |   24957158
  Cycles                             |  682848400 |  682848400 |   682848400 |  682848400
  IPC                                |       0.00 |       0.15 |        1.61 |       0.04
  Time (ns)                          |  170712100 |  170712100 |   170712100 |  170712100
  Idle time (ns)                     |  170712100 |  158292484 |    15309746 |  167878050
  Idle time (%)                      |     100.0% |      92.7% |        9.0% |      98.3%
Branch predictor stats               |            |            |             |           
  num correct                        |          0 |    5523234 |    96705098 |    1569775
  num incorrect                      |          0 |     128877 |     1713458 |       7958
  misprediction rate                 |      0.00% |      2.28% |       1.74% |      0.50%
  mpki                               |       0.00 |       1.29 |        1.56 |       0.32
TLB Summary                          |            |            |             |           
  I-TLB                              |            |            |             |           
    num accesses                     |          0 |   11163600 |    91616174 |    2793131
    num misses                       |          0 |        702 |          77 |         83
    miss rate                        |      0.00% |      0.01% |       0.00% |      0.00%
    mpki                             |       0.00 |       0.01 |        0.00 |       0.00
  D-TLB                              |            |            |             |           
    num accesses                     |          0 |   25564604 |   257042062 |    7700181
    num misses                       |          0 |      10598 |     1082355 |       2338
    miss rate                        |      0.00% |      0.04% |       0.42% |      0.03%
    mpki                             |       0.00 |       0.11 |        0.99 |       0.09
  L2 TLB                             |            |            |             |           
    num accesses                     |          0 |      11300 |     1082432 |       2421
    num misses                       |          0 |       3021 |       47035 |        950
    miss rate                        |      0.00% |     26.73% |       4.35% |     39.24%
    mpki                             |       0.00 |       0.03 |        0.04 |       0.04
Cache Summary                        |            |            |             |           
  Cache L1-I                         |            |            |             |           
    num cache accesses               |          0 |   11163600 |    91616174 |    2793131
    num cache misses                 |          0 |      18842 |     1924598 |       5041
    miss rate                        |       inf% |      0.17% |       2.10% |      0.18%
    mpki                             |        inf |       0.19 |        1.75 |       0.20
  Cache L1-D                         |            |            |             |           
    num cache accesses               |          0 |   25564604 |   257042062 |    7700181
    num cache misses                 |          0 |     375795 |     9020212 |     140019
    miss rate                        |       inf% |      1.47% |       3.51% |      1.82%
    mpki                             |        inf |       3.76 |        8.22 |       5.61
  Cache L2                           |            |            |             |           
    num cache accesses               |          0 |     409087 |    10944879 |     145070
    num cache misses                 |          0 |     365089 |      895693 |     124353
    miss rate                        |       inf% |     89.24% |       8.18% |     85.72%
    mpki                             |        inf |       3.66 |        0.82 |       4.98
  Cache L3                           |            |            |             |           
    num cache accesses               |          0 |     380226 |      895762 |     124363
    num cache misses                 |          0 |      58263 |       29849 |      44429
    miss rate                        |       inf% |     15.32% |       3.33% |     35.73%
    mpki                             |        inf |       0.58 |        0.03 |       1.78
DRAM summary                         |            |            |             |           
  num dram accesses                  |     133634 |          0 |           0 |          0
  average dram access latency (ns)   |   14173.78 |        inf |         inf |        inf
  average dram queueing delay        |   14120.35 |       0.00 |        0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |       0.00% |      0.00%
Coherency Traffic                    |            |            |             |           
  num loads from dram                |          0 |      28223 |        4976 |       6334
  num loads from dram cache          |          0 |          0 |           0 |          0
  num loads from remote cache        |          0 |          0 |           0 |          0
