CPI                  Core 0     Core 1     Core 2     Core 3   
base                   0.52       0.70       0.82       0.81
depend                 0.12       0.00       0.00       0.00
depend-int             0.00       0.08       0.08       0.08
depend-fp              0.00       0.18       0.33       0.33
branch                 0.48       0.29       0.20       0.19
mem                    0.13       0.00       0.00       0.00
mem-l1d                0.00       0.08       0.05       0.05
sync-futex             9.27       0.00       0.00       0.00
sync-unscheduled        1.62       2.76       1.10       0.38
imbalance-end          0.00       0.00       0.14       0.11
other                  0.08       0.08       0.04       0.04

total                 12.22       4.17       2.77       2.00
